vendor,month,avg_price
Loblaws,2024-06,6.989999999999999
Loblaws,2024-07,6.99
Loblaws,2024-08,6.99
Loblaws,2024-09,6.99
Loblaws,2024-10,6.540000000000001
Loblaws,2024-11,6.99
Metro,2024-06,1.5400000000000003
Metro,2024-07,1.5595652173913042
Metro,2024-08,1.54
Metro,2024-09,1.54
Metro,2024-10,1.6610526315789476
Metro,2024-11,1.7346153846153847
NoFrills,2024-06,6.204761904761905
NoFrills,2024-07,6.156666666666667
NoFrills,2024-08,5.698333333333333
NoFrills,2024-09,6.374615384615385
NoFrills,2024-10,6.309354838709678
NoFrills,2024-11,6.49
Walmart,2024-10,2.77
Walmart,2024-11,5.17
